Row,Column,Value
28,27,0.000919164725363079
28,28,0.615509535362605
29,1,0
29,5,0
29,6,0
29,7,-0.402199506771947
29,8,0
29,9,0
29,10,0
29,11,0
29,12,0
29,13,-0.402199506771947
29,14,0
29,15,0
29,16,0
29,17,0
29,18,0
29,19,0
29,20,0
29,21,0
29,22,0
29,23,0
29,24,0
29,25,0
29,26,0
29,27,0
29,28,0
29,29,1.00439891354394
30,6,-0.50171484566389
30,7,-0.50171484566389
30,30,1.00342969132778
31,1,0
31,5,0
31,6,-0.50171484566389
31,7,-0.50171484566389
31,8,0
31,9,0
31,10,0
31,11,0
31,12,0
31,13,0
31,14,0
31,15,0
31,16,0
31,17,0
31,18,0
31,19,0
31,20,0
31,21,0
31,22,0
31,23,0
31,24,0
31,25,0
31,26,0
31,27,0
31,28,0
31,29,0
31,31,1.00342969132778
32,1,-0.000496126231517769
32,5,-0.00213254819763757
32,6,0.00341768140095712
32,7,0.115020686330669
32,8,-0.000478185921622061
32,9,0.0264665873146554
32,10,-0.00121966980689254
32,11,-0.00925208727570981
32,12,-0.00925208727570981
32,13,-0.364366106443201
32,14,-0.00925208727570981
32,15,-0.00925208727570981
32,16,-0.00925208727570981
32,17,-0.000117220103084104
32,18,-0.00925208727570981
32,19,-0.000117220103084104
32,20,-0.000160570084932312
32,21,0.00184188925955956
32,22,0.00184188925955956
32,23,0.00184188925955956
32,24,-0.00170565516606456
32,25,-0.00170565516606456
32,26,0.00140586423292383
32,27,-0.0109123232276539
32,28,0.00109252563777071
32,29,0
32,31,0
32,32,0.761531963984985
33,1,-0.000394713834973094
33,5,-0.000114696740490858
33,6,-0.3627547255499
33,7,0.00811724234967449
33,8,0.0769015427371823
33,9,0.00231147936166552
33,10,0.112839294796669
33,11,-0.000192333378210415
33,12,-0.000192333378210415
33,13,0.0454877072599037
33,14,-0.000192333378210415
33,15,-0.000192333378210415
33,16,-0.000192333378210415
33,17,-0.000294981723437929
33,18,-0.000192333378210415
33,19,-0.000294981723437929
33,20,-0.00077833628753449
33,21,-0.000945936195175128
33,22,-0.000945936195175128
33,23,-0.000945936195175128
33,24,-0.00120556881447144
33,25,-0.00120556881447144
33,26,0.0011670555060448
33,27,-0.000313481624395509
33,28,0.0017648661566818
33,29,0
33,31,0
33,32,-0.000515185834030288
33,33,1.1366926752532
34,1,0.00820176190356473
34,5,-0.00250501455842759
34,6,0.00362251979021871
34,7,0.0635401419063142
34,8,-0.008765537870426
34,9,-0.00626926493747802
34,10,-0.0151747435214761
34,11,-0.00374418758427731
34,12,-0.00374418758427731
34,13,0.0582614372962648
